DDC,Title,description
002,"A Gentle Madness: Bibliophiles, Bibliomanes, and the Eternal Passion for Books","The passion to possess books has never been more widespread than it is today; indeed, obsessive book collecting remains the only hobby to have a disease named after it. A Gentle Madness is an adventure among the afflicted. Author Nicholas Basbanes, a dedicated bibliophile himself, begins his book 2,200 years ago in Alexandria, when a commitment was made to gather all the world's knowledge beneath one roof. In a series of lively chapters, the continuum then passes through the Middle Ages and   the Renaissance to the twentieth century with a special emphasis on book lore and book culture in Great Britain and North America. In the second half of A Gentle Madness, Basbanes offers a gallery of revealing profiles of living collectors and presents exclusive examinations of the great contemporary stories. The book also includes the most comprehensive bibliography on book collecting compiled in more than a quarter century."
002,A Splendor of Letters: The Permanence of Books in an Impermanent World,"In A Splendor of Letters, Nicholas A. Basbanes continues the lively, richly anecdotal exploration of book people, places, and culture he began in 1995 with A Gentle Madness (a finalist that year for the National Book Critics Circle Award) and expanded in 2001 with Patience & Fortitude, a companion work that prompted the two-time Pulitzer Prize-winning historian and biographer David McCullough to proclaim him ""the leading authority of books about books."" Basbanes now offers a consideration of   the many pressing issues that surround the role of books in contemporary society, such as the willful destruction of books and libraries in Sarajevo, Tibet, and Cambodia, and the spirited efforts to restore them. The matter of ""discards"" at various libraries takes on an entirely new dimension as well, with fully researched stories about the kind of attitudes that may lead to the loss of last copies of important works. In vivid detail, Basbanes examines the many materials that have been used over the centuries to record information -- among them clay tablets, papyrus scrolls, slabs of stone, palm leaves, animal skins, and hammered sheets of gold and copper. Also discussed are the various debates that continue to rage about preservation, which may mean saving and storing books on paper indefinitely, or as electronic data, which are by nature ephemeral. In this beautifully packaged edition, Nicholas Basbanes brings to a close his wonderful trilogy on the remarkable world of books and bibliophiles."
002,Among the Gently Mad: Perspectives and Strategies for the Book Hunter in the Twenty-first Century,"A field guide for the modern book collector From the author of A Gentle Madness -a book with more than seventy thousand copies in print that delighted bibliophiles everywhere-comes a twenty-first-century guide to book collecting that deals with both the traditional methods of acquisition and the electronic tools now available on the Internet. Sharing the superb insight he has gathered from booksellers over the years, Nicholas Basbanes offers a refresher course on the fundamentals that endure,   while questioning certain practices of doubtful validity. Topics include how to determine if a book is a first edition, how to spot book club editions, the importance of dust jackets, scouting the flea markets, how to work the book fairs, and the importance of handling the goods, as well as discussing less tangible issues like spotting trends and having a focus. Then he takes a long look at the pros and cons of Internet buying, illuminating how you can use these electronic tools to your advantage and making this the book no modern collector will want to be without."
002,The Book of Lost Books: An Incomplete History of All the Great Books You'll Never Read,"""In an age when deleted scenes from Adam Sandler movies are saved, it's sobering to realize that some of the world's greatest prose and poetry has gone missing. This witty, wry, and unique new book rectifies that wrong. Part detective story, part history lesson, part expose, The Book of Lost Books is the first guide to literature's what-ifs and never-weres. In compulsively readable fashion, Stuart Kelly reveals details about tantalizing vanished works by the famous, the acclaimed, and the   influential, from the time of cave drawings to the late twentieth century. Here are the true stories behind stories, poems, and plays that now exist only in imagination: Aristophanes' Heracles, the Stage Manager was one of the playwright's several spoofs that disappeared. Love's Labours Won may have been a sequel to Shakespeare's Love's Labours Lost--or was it just an alternative title for The Taming of the Shrew? Jane Austen's incomplete novel Sanditon, was a critique of hypochondriacs and cures started when the author was fatally ill. Nikolai Gogol burned the second half of Dead Souls after a religious conversion convinced him that literature was paganism. Some of the thousand pages of William Burroughs's original Naked Lunch were stolen and sold on the street by Algerian street boys. Sylvia Plath's widower, Ted Hughes, claimed that the 130 pages of her second novel, perhaps based on their marriage, were lost after her death. Whether destroyed (Socrates' versions of Aesop's Fables), misplaced (Malcolm Lowry's Ultramarine was pinched from his publisher's car), interrupted by the author's death (Robert Louis Stevenson's Weir of Hermiston), or simply never begun (Vladimir Nabokov's Speak, America, a second volume of his memoirs), these missing links create a history of literature for a parallel world. Civilized and satirical, erudite yet accessible, The Book of Lost Books is itself a find.""--Publisher's website.
A history of world literature showcases authors whose books have been missing, destroyed, or left unfinished, describing works that have been lost by such authors as Euripides, Shakespeare, Charles Dickens, and Sylvia Plath."
002,"The Case for Books: Past, Present, and Future","""The era of the printed book is at a crossroad. E-readers are flooding the market, books are available to read on cell phones, and companies such as Google, Amazon, and Apple are competing to command near monopolistic positions as sellers and dispensers of digital information. Is the printed book resilient enough to survive the digital revolution, or will it become obsolete? In this lasting collection of essays, Robert Darnton--an intellectual pioneer in the field of this history of the   book--lends unique authority to the life, role, and legacy of the book in society.""--P. 4 of cover."
002,"The Coming of the Book: The Impact of Printing 1450-1800 (Verso Classics, 10)","Books, and the printed word more generally, are aspects of modern life that are all too often taken for granted. Yet the emergence of the book was a process of immense historical importance and heralded the dawning of the epoch of modernity. In this much praised history of that process, Lucien Febvre and Henri-Jean Martin mesh together economic and technological history, sociology and anthropology, as well as the study of modes of consciousness, to root the development of the printed word in   the changing social relations and ideological struggles of Western Europe."
002,The Smithsonian Book of Books,"From earliest attempts at writing to the newest electronic computer-books; from sumptuous illuminated and bejeweled medieval manuscripts to Gutenberg and the invention of movable type; from the diverse arts and crafts of bookmaking to the building of magnificent libraries for housing treasured volumes; from the ancient epic of Gilgamesh to the plays of Shakespeare and the tales of Beatrix Potter, the author highlights the evolution of the commercial value of books and of the passion for book   collecting."
002,The Book: The Story of Printing and Bookmaking,None
002,The Book History Reader,"The Book History Readerbrings together a rich variety of writings examining different aspects of the history of books and print culture, much of which is otherwise inaccessible. It looks at the development of the book, the move from spoken word to written texts, the commodification of books and authors, the power and profile of readers, and the future of the book in the electronic age. The Readeris arranged in thematic sections and features a general introduction as well as an introduction   to each section. This pioneering book is a valuable resource for all those involved in book publishing studies and book history as well as students of English literature, cultural studies, sociology and history. Essays by: Thomas Adams and Nicholas Barker, Richard Altick, Roland Barthes, C.A. Bayly, Pierre Bourdieu, John Brewer, Michel de Certeau, Roger Chartier, Robert Darnton, Elizabeth Eisenstein, Lucien Febrve and Henri-Jean Martin, N.N. Feltes, Kate Flint, Stanley Fish, Michel Foucault, Wolfgang Iser, Adrian Johns, Jerome McGann, Don McKenzie, Jennifer E. Monaghan, Jan Dirk Muller, Walter Ong, Robert Patten, Janice Radway, Jonathan Rose, Mark Rose, John Sutherland, Jane Tompkins, James L.W. West III"
002,"The Book Before Printing: Ancient, Medieval and Oriental",Rich authoritative study of the book before Gutenberg. Nearly 200 photographic facsimiles of priceless documents. Comprehensive.
