mds_code,bookid,title,description
600,1007068,Big Book of How Things Work,"Explains the operation of scores of machines, devices, instruments, and toys that children are most curious about."
600,10168032,The Best Technology Writing 2010,"The iPad. The Kindle. Twitter. When the Best Technology Writing series was inaugurated in 2005, these technologies did not exist. Now they define our 21st-century lives. As Julian Dibbell writes in his introduction to The Best Technology Writing 2010, ""The digital is us. Yet for that reason, it is also something more, a lightning rod for our feelings about technology in general."" Whether it is Sam Anderson's giddy but troubled defense of online distractions, David Carr's full-throated elegy to the dying world of pre-digital publishing, Steven Johnson's warm appreciation of Twitter's bite-size contributions to collective human intelligence, or Evan Ratliff's fascinating month-long quest to disappear without a digital trace, many of the essays gathered here register our intense and complicated fascination with digital media. But as Dibbell notes, these essays also remind us that some of the most disruptive and fascinating technologies continue to come from beyond the digital world. Jill Lepore's writing on the politics of breast-feeding gadgetry, Stephen Silberman's investigation of the placebo effect in pharmaceutical testing, Burkhard Bilger reporting on efforts to build a better cook stove for the developing world, and Tad Friend's profile of electric-car developer Elon Musk's efforts to head off environmental catastrophe all invite us to reflect on how many aspects of human experience remain fundamentally unchanged by digital technology. Packed with marvelous essays on technologies old and new, The Best Technology Writing 2010 is an outstanding addition to this ""fantastic"" (Cory Doctorow), ""fascinating"" (Chris Anderson) series. The Best Technology Writing 2010 includes essays written by: Sam Anderson Burkhard Bilger Joshua Bearman Mark Bowden David Carr Douglas Fox Tad Friend Ben Greenman Vanessa Grigoriadis James Harkin Adam Higginbotham Alex Hutchinson Steven Johnson Kevin Kelly Jill Lepore Alexis Madrigal Javier Marias Mike Massimino Evan Ratliff Daniel Roth Clay Shirky Steve Silberman Annie Trubek Lawrence Weschler"
600,10229463,"Long, Long Ago (Crafty Inventions)","Describes the basic science principles and the history behind many inventions including the spearhead, the wheel, the earth ramp, the plow, a shadoof, the raft, a bridge, and paint. Includes hands-on problem solving and make-and-do projects."
600,1042432,Tribal Living Book: 150 Things to Do and Make from Traditional Cultures Around the World,"Representing peoples from Africa, Southeast Asia, the South Pacific, Europe, and the Middle East--more than 100 traditional cultures--this fascinating book discusses over 150 crafts and techniques of the art of living in harmony with nature. Includes basketmaking, atlatl, knife making, sandpainting, boomerangs, board games, sign language, food preservation, and more."
600,1045490,The Science of Discworld II: The Globe,"Roundworld, aka Earth, is under siege. Are three wizards and an orangutan Librarian enough to thwart the Elvish threat? When the wizards of Unseen University first created Roundworld, they were so concerned with discovering the rules of this new universe that they overlooked its inhabitants entirely. Now, they have noticed humanity. And humanity has company. Arriving in Roundworld, the wizards find the situation is even worse than they'd expected. Under the elves' influence, humans are superstitious, fearful, and fruitlessly trying to work magic in a world ruled by logic. Ridcully, Rincewind, Ponder Stibbons, and the orangutan Librarian must travel through time to get humanity back on track and out of the dark ages. The Globe goes beyond science to explore the development of the human mind. Terry Pratchett and his acclaimed co-authors Ian Stewart and Jack Cohen combine the tale of the wizards rewriting human history with discussions of the origins and evolution of culture, language, art, and science, offering a fascinating and brilliantly original view of the world we live in."
600,10528374,Make: Technology on Your Time Volume 24,"MAKE blasts into orbit and beyond with our Space Exploration issue. DIY satellites! Radio telescopy! Sub-orbital rocketry! Renegade NASA hackers! Bouncing signals off the moon! Of course, as usual, we've got a full payload of other cool DIY projects to keep you busy while your computer joins in the search for signs of extraterrestrial intelligence."
600,10547053,The Klutz Book of Brilliantly Ridiculous Inventions,"A collection of humerous inventions, such as the ""metal detector/crutch combo"" and ""classic fiction bathroom tissue""."
600,10852625,Make: Technology on Your Time Volume 25,"The first magazine devoted entirely to do-it-yourself technology projects presents its 25th quarterly edition for people who like to tweak, disassemble, recreate, and invent cool new uses for technology. MAKE Volume 25 is all about the Arduino Revolution! Give your gadgets a brain! Previously out of reach for the do-it-yourselfer, the tiny computers called microcontrollers are now so cheap and easy to use that anyone can make their stuff smart."
600,11130878,Wallace and Gromit's World of Invention,"Britain's favourite duo, Wallace and Gromit, introduce you to an amazing world of invention."
600,11184205,Encyclopedia Britannica Fascinating Facts: How Things Work,"Brief one-paragraph explanations of how a wide variety of things work or are made, from airplanes and boomerangs to VCRs and wine."
