DDC,Title,description
351,The Story of the U.S. Coast Guard,"An account of the history and activities of the American Coast Guard, ready to defend the nation against enemy assault and pledged to keeping the waters safe for all."
351,Classics of Public Administration,"With this newly expanded eighth edition of CLASSICS OF PUBLIC ADMINISTRATION, authors Jay M. Shafritz and Albert C. Hyde introduce students to the principles of public administration via the most significant scholarly writings on the topic. Straightforward and informative, this text begins its discussion with Confucius in ancient China and continues to today's political scientists. This edition includes 17 new readings and addresses the key fields of public administration: bureaucracy, organization theory, human resources management, the budgetary process, public policy, implementation, evaluation, intergovernmental relations, and public service ethics."
351,How to Run a Government: So that Citizens Benefit and Taxpayers Don't Go Crazy,"The secrets of successful government from Michael Barber, one of the world's leading experts on carrying out lasting improvements in public life. Billions of citizens around the world are frustrated with their governments. Political leaders struggle to honour their promises and officials find it near impossible to translate ideas into action. The result? High taxes, but poor outcomes. Cynicism not just with government but with the political process. Why is this? How could this vicious spiral be reversed? In this groundbreaking book Michael Barber draws on his wealth of experience of working for and with government leaders the world over to present a blueprint for how to run a government. Using contemporary cases from every continent and classic examples from history, he makes a compelling case for a new approach. From Downing Street to Punjab, Charles I to Churchill, this book shows that the solution is less about ideology and more about clear priorities and meticulous planning. Praise for Instruction to Deliver: ""Wonderful"". (Bill Bryson). ""One of the best books written on British government for many years"". (Vernon Bogdanor, Financial Times). Sir Michael Barber is the co-founder of Delivery Associates and Chief Education Advisor at Pearson. Over the last two decades he has worked on government and public service reform in more than 50 countries. From 2001 to 2005 he was the first Head of the Prime Minister's Delivery Unit in the UK. He is a Distinguished Visiting Fellow at Harvard School of Public Health and an Honorary Doctor of several universities including the University of Exeter. His previous books include Instruction to Deliver: Fighting to Transform Britain's Public Services."
351,"Understanding and Managing Public Organizations, 5th Edition","This revised edition of the best-selling text in the field includes a guiding framework of organizational analysis emphasizing the integration and coordination of the domains of the organization with the motivations, work attitudes, and behaviors of the people who lead them. Includes new research and practice from the US and internationally in collaboration and networks, innovation, process improvement through IT, open government and citizen participation, customer service, and a provides a greater emphasis on management practice through illustrative examples of those who are leading success"
351,"Public Administration: Understanding Management, Politics, and Law in the Public Sector","This text uses a three-part framework of management, politics, and the law as the basis for its coverage of public administration. The text's analytic framework will help students develop a lasting understanding of the field."
351,Seeds of Treason: The True Story of the Chambers-Hiss Tragedy,None
351,The Case of the Red Hot Possum,"Eleven-year-old Les and a group of new friends form a Sugar Creek Gang like the one in their favorite books and, with God's help, try to discover who is illegally trapping possums in the county park."
351,The Government of the Roman Empire: A Sourcebook (Routledge Sourcebooks for the Ancient World),"This book reveals how an empire that stretched from Glasgow to Aswan in Egypt could be ruled from a single city and still survive more than a thousand years. The Government of the Roman Empire is the only sourcebook to concentrate on the administration of the empire, using the evidence of contemporary writers and historians.Specifically designed for students, with extensive cross-referencing, bibliographies and introductions and explanations for each item, this new edition brings the book right up-to-date, and makes it the ideal resource for students of the subject."
351,Introducing Public Administration,"Updated in its 8th edition, Introducing Public Administration provides readers with a solid, conceptual foundation in public administration, and contains the latest information on important trends in the discipline.Known for their lively and witty writing style, Shafritz, Russell, and Borick cover the most important issues in public administration using examples from various disciplines and modern culture. This approach captivates readers and encourages them to think critically about the nature of public administration today."
351,We Don&#039;t Make Widgets: Overcoming the Myths That Keep Government From Radically Improving,None
351,The Real Book about the Mounties,None
351,Applied Statistics for Public and Nonprofit Administration,"As the first book ever published for public administration statistics courses, APPLIED STATISTICS FOR PUBLIC AND NONPROFIT ADMINISTRATION makes a complicated subject easy to understand for students and professionals who have little background in statistics or research methods. Steeped in experience and practice, this landmark text remains the first and best in research methods and statistics for students and practitioners in public--and nonprofit--administration. All statistical techniques used by public administration professionals are covered, and all examples in the text relate to public administration and the nonprofit sector. The text doesn't use jargon; instead, it uses a step-by-step approach that helps you master the concepts."
351,The Secret World,None
351,"Jobs That Matter: Find a Stable, Fulfilling Career in Public Service","Details on major career interest areas, including human services, health, education, civil rights, the environment, infrastructure, finance, international development, security and law enforcement, religion, and the arts ; Profiles of 26 professionals in all areas of public service, with employers raging from the NYC Transit Authority to the Seattle opera ; Salaries, job outlook, and career information on more than 60 different public service jobs ; Listings of more than 250 professional associations, job search sites, and books ; Career exploration exercises to help you pinpoint the right area for you ; Sample resumes and cover letters with proven public service success ; Effective interview and networking strategies ; Salary negotiation guidelines specific to public service careers ; Targeted tips for specifc public service job searches, including the United Nations and Sate Department ; Expert advice for career changers, students, veterans, and AmeriCorps and Peace Corps volunteers"" --Cover, p. 4."
351,"Next Generation Society Technological and Legal Issues Third International Conference, e-Democracy 2009, Athens, Greece, September 23-25, 2009, Revised Selected Papers","This book constitutes the refereed proceedings of the Third International ICST Conference, e-Democracy 2009, held in Athens, Greece, in September 2009. The 40 revised full papers presented were carefully reviewed. The papers are organized in topical sections on politics - legislation - regulatory framework I; enhancing quality of life through e-services; politics - legislation - regulatory framework II supporting democracy through e-services; identity management, privacy and trust; securitiy, attacks and crime; e-government & local e-government; education and training; collaboration, social networking, blogs; pervasive, ubiquitous, and intelligent computing. ."
351,Public Administration: A Very Short Introduction (Very Short Introductions),"In a modern democratic nation, everyday life is shaped by the decisions of those who manage and administer public policies. This Very Short Introduction provides a practical insight into the development and delivery of the decisions that shape how individuals, and society as a whole, live and interact."
351,Extreme Government Makeover: Increasing Our Capacity to Do More Good,Author Ken Miller Part of the GOVERNING MANAGEMENT SERIES.
351,Public Administration in America,"PUBLIC ADMINISTRATION IN AMERICA tackles the current and emerging trends, ethics, and challenges in public administration with the most comprehensive scholarship available. The Eleventh Edition gives you a behind the scenes look at day-to-day operations while examining the policies implemented and the procedures undertaken across the various levels of American government. The most current applications of public administration are discussed and analyzed, with up to date coverage of recent education initiatives such as Race to the Top, the ongoing health care debates, Homeland Security challenges and threats, and much more. To encourage student engagement, the Eleventh Edition introduces two new features, ""Point/Counterpoint"" and ""What Would You Decide?,"" where students are invited to play an active role in debating and discussing some of the most up-to-date topics. Presented in a comprehensive and easy-to-understand format, PUBLIC ADMINISTRATION IN AMERICA builds student knowledge of core concepts while showing them the path to an exciting and fulfilling career in politics and public administration--where they can make a difference!"
351,Beyond Politics: The Roots of Government Failure,"Providing students of economics, politics, and policy with a concise explanation of public choice, markets, property, and political and economic processes, this record identifies what kinds of actions are beyond the ability of government. Combining public choice with studies of the value of property rights, markets, and institutions, this account produces a much different picture of modern political economy than the one accepted by mainstream political scientists and welfare economists. It demonstrates that when citizens request that their gover"
351,Mastering Public Administration: From Max Weber to Dwight Waldo,"In Mastering Public Administration, each chapter spotlights a significant theorist in the field, covering his/her life, research, writings, and impact, introducing the discipline's most important scholarship in both a memorable and approachable manner. The combination of biographical narrative with explanation and analysis makes abstract theories understandable while showing how subject scholars relate to each other in their work, providing much needed context. The book's chronological organization shows the evolution of public administration theory over time. With the new edition, the authors will be adding mini-chapters that link contemporary scholars and their research to the seminal literature."
351,The Public Administration Theory Primer,"""The Public Administration Theory Primer explores how the science and art of public administration is definable, describable, replicable, and cumulative. The authors survey a broad range of theories and analytical approaches--from public institutional theory to theories of governance--and consider which are the most promising, influential, and important for the field. This book paints a full picture of how these theories contribute to, and explain, what we know about public administration today. The third edition is fully revised and updated to reflect the latest developments and research in the field including more coverage of governments and governance, feminist theory, emotional labor theory, and grounded research methodology. Expanded chapter conclusions, additional real-world application examples throughout, and a brand-new online supplement with sample comprehensive exam questions and summary tables make this an even more valuable resource for all public administration students""--"
351,"Red Tape: Its Origins, Uses, and Abuses","Death, taxes, and red tape. The inevitable trio no one can escape. That wry sense of reality colors Herbert Kaufman's classic study of red tape, the bureaucratic phenomenon that all of us have encountered in some form-from the confounding tax form filled out annually to the maddeningly time-consuming wait at the driver's license bureau.The complaints about red tape, Kaufman concedes, are legion. It's messy, it takes too long, it lacks local knowledge, it is out of date, it makes insane demands, it increases costs, it slows progress. It is, in short, a burden and many times there is no measurab"
351,"Woolf in Ceylon: An Imperial Journey in the Shadow of Leonard Woolf, 1904-1911","Leonard Woolf was sent to Ceylon in 1904 as a civil servant. In this text, Ondaatje revisits Woolf's former imperial haunts and considers his wide range of writings on the region."
351,Paper Tigress: A life in the Hong Kong Government,"Rachel Cartland came to Hong Kong in 1972 as one of just two female expatriates in the Hong Kong Government's elite administrative grade. Before she retired in 2006, her life was shaped by the momentous events that rocked Hong Kong during those action-packed years: corruption and the police mutiny, the growth of the new towns, the currency crisis of 1983, Tiananmen Square, the change of sovereignty and the devastation of SARS. The backdrop to her story ranges from Kowloon's infamous Walled City to Government House to the rural New Territories. This book is full of humour and incident and, at the same time, an accessible account of modern Hong Kong and the forces that shaped it."
351,The Diplomats,None
351,Leadocracy: Hiring More Great Leaders (Like You) into Government,"HTML:Do you think your life will get better in the future? Geoff Smart had some doubts. He saw what you see�how broken government has become. He worried about his career, his family's future, and our everyday quality of life. Then one day, Geoff received an unexpected message that changed how he saw the problem. Geoff was asked to help. His journey took him behind the scenes to work with other private sector leaders who had made the leap into government. What he discovered will surprise you. Leadocracy will tell you Why great leaders avoid government How the ""3 As of Leadership"" can help us identify, hire, and become better leaders How we can avoid nonleader candidates like the Turtle, Bureaucrat, Screamer, and Idealist How the adrenaline rush of ""flow"" can offer leaders from the private sector the adventure of a lifetime Thomas Paine's Common Sense painted a vision that inspired a generation and changed the course of human history. The movement of our time is leadocracygovernment by society's greatest leaders. Leaders like you. . Business. Nonfiction."
351,The Living Legend: The Story of the Royal Canadian Mounted Police,"The Living Legend: The Story Of The Royal Canadian Mounted Police by Alan Phillips is a comprehensive and detailed account of the history and legacy of one of the world's most iconic law enforcement agencies. The book traces the origins of the Royal Canadian Mounted Police (RCMP) from its humble beginnings as a small force of mounted police in the late 19th century to its modern-day status as a national institution.The author delves into the rich and fascinating history of the RCMP, exploring the organization's role in shaping Canadian society and culture. The book covers a wide range of topics, including the RCMP's involvement in the construction of the Canadian Pacific Railway, its role in the enforcement of prohibition laws, and its contributions to the country's military efforts during both World Wars.The Living Legend also examines the challenges and controversies that have faced the RCMP over the years, including allegations of corruption and misconduct. The author provides a balanced and nuanced perspective on these issues, exploring both the strengths and weaknesses of the organization.Throughout the book, Phillips weaves together a compelling narrative that is both informative and engaging. The Living Legend is a must-read for anyone interested in Canadian history, law enforcement, or the RCMP specifically. It is a fitting tribute to a truly remarkable institution and the men and women who have served in it over the years.This scarce antiquarian book is a facsimile reprint of the old original and may contain some imperfections such as library marks and notations. Because we believe this work is culturally important, we have made it available as part of our commitment for protecting, preserving, and promoting the world's literature in affordable, high quality, modern editions, that are true to their original work."
351,Reader in Bureaucracy,None
351,Public Administration: An Introduction,"Marc Holzer and Richard Schwester have written a fresh and highly engaging textbook for the introductory course in Public Administration. Their coverage is both comprehensive and cutting edge, not just including all the basic topics (OT, budgeting, HRM), but also reflecting new realities in public administration: Innovations in e-government The importance of new technology Changes in intergovernmental relations, especially the emphasis on inter-local and shared regional resources Public performance and accountability initiatives Public Administration has been crafted with student appeal in mind. Each of the book's 14 chapters is generously and colorfully illustrated with cartoons, quotes, and artwork--all reinforcing the book's theme that the field of PA is rooted in the cultural and political world. Each chapter is also supported with a listing of key terms, exercises, and additional resources."
351,The Coordination of Public Sector Organizations Shifting Patterns of Public Management,This book discusses the trajectories of creating specialized autonomous units. An analysis of the mechanisms and measures taken for granting autonomy to specialized autonomous units and subsequently to coordinating them back is described. The book shows a range of patterns in the dynamics of specialization and coordination over 25 years.
351,Opern der Welt : Textbuch : Einführung und Kommentar : Wagner : Parsifal,None
351,"King, Governance, and Law in Ancient India: Kautilya's Arthasastra","King, Governance, and Law in Ancient India presents an English translation of Kautilya's Arthasastra (AS.) along with detailed endnotes. When it was discovered around 1905, the AS. was described as perhaps the most precious work in the whole range of Sanskrit literature, an assessment that still rings true. Patrick Olivelle's new translation of this significant text, the first in close to half a century, takes into account a number of important advances in our knowledge of the texts, inscriptions, and archeological and art historical remains from the period in Indian history to which the AS. belongs. The AS. is what we would today call a scientific treatise. It codifies a body of knowledge handed down in expert traditions and is specifically interested in two things: first, how a king can expand his territory, keep enemies at bay, enhance his external power, and amass riches; second, how a king can best organize his state bureaucracy to consolidate his internal power, to suppress internal enemies, to expand the economy, to enhance his treasury through taxes, duties, and entrepreneurial activities, to keep law and order, and to settle disputes among his subjects. The AS. stands alone: there is nothing like it before and there is nothing like it after."
351,Russian Bureaucracy and the State Officialdom From Alexander III to Vladimir Putin,"Russian Bureaucracy and the State provides a rich and innovative assessment of Russian bureaucracy from 1881 to the present. From a variety of disciplinary perspectives, the work assesses the organization, personnel, and practices of officialdom across three different Russian regimes - tsarist, Soviet and postcommunist."
